Eesa|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Omar|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Cillian|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Evan|Boy,88,96,x,x,x,x,x,x,x,x,99,x,x,Lost Generation
Mateo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Remi|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Finlay|Boy,x,x,x,x,x,x,x,x,x,x,63,99,x,Declining Former Favorite
Rudy|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Nico|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Maxwell|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jake|Boy,x,x,x,x,x,x,x,x,x,18,26,33,x,Recent Entrant
Jaxson|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Romeo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Rayan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Zain|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Micah|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Rome|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Casper|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Francis|Boy,28,34,43,42,54,61,82,x,x,x,x,x,x,Lost Generation
Frank|Boy,16,15,19,34,46,65,x,x,x,x,x,x,x,Declining Former Favorite
Amir|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Barnaby|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jason|Boy,x,x,x,x,x,x,93,18,41,62,x,x,x,Declining Former Favorite
Xander|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Maximus|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ayan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ilyas|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Zayd|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Maximilian|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Christopher|Boy,61,66,69,57,16,9,11,6,1,14,65,x,x,Steady Classic
Kian|Boy,x,x,x,x,x,x,x,x,x,x,61,54,x,Recent Entrant
Koa|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Mohamed|Boy,x,x,x,x,x,90,x,x,x,x,x,x,x,
Zayan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Joel|Boy,x,x,x,x,x,x,x,x,x,80,73,x,x,Declining Former Favorite
Spencer|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Nicholas|Boy,x,x,x,x,76,36,28,19,22,42,100,x,x,Declining Former Favorite
Josiah|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jordan|Boy,x,x,x,x,x,x,x,x,93,10,86,x,x,Declining Former Favorite
Tyler|Boy,x,x,x,x,x,x,x,x,x,x,36,47,x,Recent Entrant
Rafael|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Anthony|Boy,91,76,49,16,6,11,14,25,24,58,x,x,x,Steady Classic
Cameron|Boy,x,x,x,x,x,x,x,x,x,65,29,x,x,Recent Entrant
Lewis|Boy,70,78,98,x,x,x,x,x,66,22,14,46,x,Intermittent Presence
Rex|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Sidney|Boy,27,31,45,69,99,x,x,x,x,x,x,x,x,Lost Generation
Rafferty|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Colby|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Eddie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Flynn|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jamie|Boy,x,x,x,x,x,x,x,45,30,26,33,88,x,Declining Former Favorite
Rayyan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Cruz|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ahmad|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
