name,gender,cluster,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Renji,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Kotaro,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Jujhaar,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Khyro,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3
Nyle,Boy,2,24,15,15,26,20,19,13,13,10,34,19,17,17,20,17,16,17,25,19,18,17,15,18,12,12,16,10,10,17
Talib,Boy,3,0,0,0,0,0,0,3,6,7,0,4,5,4,4,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0
Das,Boy,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas-Lee,Boy,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,4,3,0,3,0,0,0,0,0,0,0
Oghosa,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0
Luca-Thomas,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Nadar,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Masimba,Boy,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Hashim,Boy,3,27,42,43,49,56,62,62,68,58,76,83,104,76,90,103,85,92,120,103,96,97,108,95,100,71,76,85,66,87
Rhett,Boy,1,4,0,4,0,0,3,6,7,4,4,0,0,3,0,0,0,0,5,6,0,8,10,7,7,14,10,9,10,9
Nafees,Boy,1,6,3,4,4,4,0,3,0,3,4,0,0,7,0,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0
Rosko,Boy,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korben,Boy,4,0,4,6,15,13,22,135,36,27,33,21,33,9,17,18,8,16,18,21,14,10,12,9,0,0,0,0,5,3
Jaden-Lee,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrianas,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,3,0,0,0
Hamidou,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Alphonsus,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Conan,Boy,1,12,11,16,10,9,17,13,10,10,13,8,5,14,14,5,18,11,19,20,29,22,22,20,16,18,28,24,30,29
Achyut,Boy,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Elajus,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Iyan,Boy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,5
Nazar,Boy,1,0,4,0,0,0,0,0,0,0,0,4,0,0,4,3,5,3,0,0,0,0,3,0,5,7,3,3,5,6
Ilyas,Boy,3,14,17,17,16,29,34,38,39,55,50,52,68,76,72,73,91,104,99,107,117,103,105,112,147,121,151,182,213,250
Egan,Boy,1,0,0,0,0,0,3,4,5,7,0,5,4,3,4,0,8,3,0,0,0,4,0,4,3,6,3,5,6,5
